bedrooms,bathrooms,bathroomsFull,bathroomsThreeQuarter,bathroomsHalf,bathroomsOneQuarter,bathroomsPartial,mainLevelBathrooms,rooms,basement,flooring,heating,hasHeating,cooling,hasCooling,appliances,laundryFeatures,fireplaces,fireplaceFeatures,hasFireplace,furnished,commonWalls,buildingArea,livingArea,aboveGradeFinishedArea,belowGradeFinishedArea,parking,parkingFeatures,garageSpaces,coveredSpaces,hasAttachedGarage,hasGarage,openParkingSpaces,hasOpenParking,carportSpaces,hasCarport,otherParking,accessibilityFeatures,levels,stories,entryLevel,entryLocation,hasPrivatePool,hasSpa,spaFeatures,exteriorFeatures,patioAndPorchFeatures,fencing,view,hasView,hasWaterfrontView,waterfrontFeatures,frontageType,frontageLength,topography,woodedArea,vegetation,canRaiseHorses,lotSize,lotSizeDimensions,otherStructures,additionalParcelsDescription,hasAdditionalParcels,parcelNumber,hasAttachedProperty,hasLandLease,landLeaseAmount,zoning,zoningDescription,homeType,architecturalStyle,constructionMaterials,foundationDetails,roofType,windowFeatures,propertyCondition,isNewConstruction,yearBuiltEffective,builderModel,hasHomeWarranty,electric,hasElectricOnProperty,gas,sewer,waterSources,utilities,greenBuildingVerificationType,greenEnergyEfficient,greenIndoorAirQuality,greenSustainability,greenWaterConservation,numberOfUnitsInCommunity,numberOfUnitsVacant,storiesTotal,hasPetsAllowed,hasRentControl,buildingFeatures,structureType,buildingName,elementarySchool,elementarySchoolDistrict,middleOrJuniorSchool,middleOrJuniorSchoolDistrict,highSchool,highSchoolDistrict,securityFeatures,communityFeatures,isSeniorCommunity,cityRegion,listingId,buildingAreaSource,otherFacts,zipcode,streetAddress,city,state,latitude,longitude,price,homeStatus,photoCount,imageId,description
3,2,2,0,0,0,,,[],Full,,['Forced air'],True,['Central'],True,"['Microwave', 'Refrigerator']",,,,,False,,,1332.0,,,,['Attached Garage'],3,,False,True,,False,,False,,,,,,,,,,"['Brick', 'Stone', 'Vinyl']",,,,,,,,,,,,False,0.77 acres,,,,False,,False,False,,Residential-Single Family,,Single Family,,,,Asphalt,,,False,,,False,,,,['Mound'],,,,,,,,,,,True,False,,,,,Lakeville,,Lakeville,,Lakeville,,,False,Elko New Market,5352441,,"[{'name': 'Exterior', 'value': 'Brick/Stone, Vinyl'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'GarageDescription', 'value': 'Attached Garage'}, {'name': 'SpecialSearch', 'value': '3 BR on One Level'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Pitched'}, {'name': 'Water', 'value': 'Well'}, {'name': 'FrontageFeet', 'value': 'County'}, {'name': 'BathDesc', 'value': 'Upper Level Full Bath, 3/4 Master'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'Status', 'value': 'Active'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'To Be Built/Floor Plan'}]",55054,Xxx Deuce Rd,Elko New Market,MN,44.571368,-93.350182,325000.0,FOR_SALE,0,55054_0,"For sale: $325,000. Check out this 3 bedroom, 2 bath home on wooded lot. Custom cabinets, large island and quartz counter top set off this gourmet kitchen. Very open floor plan with all the great finishes you've come to expect from this Reggie Award winning builder. There is still time to make changes/selections and turn this house into your home."
3,2,1,1,0,0,,,[],"Full, Finished (Livable), Walkout",['Tile'],['Forced air'],True,['Central'],True,"['Range', 'Refrigerator', 'Washer', 'Dryer', 'Water Softener - Owned']",,,,True,False,,,2140.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,1,,,,,,['Vinyl'],,,,,,,,,,,,False,0.35 acres,,,,False,230090180,False,False,,Residential-Single Family,,Single Family,,,['Concrete'],Asphalt,,,False,2000,,False,,,,['City Sewer/Connected'],,,,,,,,,,,True,False,,Ranch,,,,,,,,,,False,Elko New Market,,,"[{'name': 'AmenitiesUnit', 'value': 'Porch, Vaulted Ceiling(s), Tiled Floors, Patio, Skylight, Walk-In Closet'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'GarageDescription', 'value': 'Attached Garage'}, {'name': 'Fence', 'value': 'Wood'}, {'name': 'BathDesc', 'value': 'Main Floor Full Bath, 3/4 Basement'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Water', 'value': 'City Water/Connected'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}]",55054,3336 Holly Ct,Elko New Market,MN,44.568648,-93.339209,302257.0,PRE_FORECLOSURE,10,55054_1,"Recently sold: $260. Opportunity to build equity. Home needs some TLC seller will NOT make any repairs inside or out. see addendum on supplement. Lakeville schools pick up right in cul-de-sac, newer water heater, water softener, washer, dryer. Please allow ample showing notice."
3,2,1,1,0,0,,,[],"Finished (Livable), Drain Tiled, Partial, Sump Pump, Egress Windows, Partial Finished, Insulating Concrete Forms, Daylight/Lookout Windows","['Hardwood', 'Tile']",['Forced air'],True,,,"['Range', 'Microwave', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer', 'Furnace Humidifier', 'Air-To-Air Exchanger']",,,,True,False,,,2420.0,,,,['Attached Garage'],,,False,,,False,,False,,,,,,,,,,"['Brick', 'Stone', 'Vinyl']",,,,,,,,,,,,False,0.16 acres,,,,False,230180140,False,False,,Residential-Single Family,,Townhouse,,,,Asphalt,,,True,,,False,,,,"['City Sewer/Connected', 'City Sewer - In Street']",,,,,,,,,,,True,False,,,,,,,,,,,,False,Elko New Market,5249402,,"[{'name': 'AmenitiesUnit', 'value': 'Deck, Porch, Natural Woodwork, Kitchen Window, Vaulted Ceiling(s), Hardwood Floors, Tiled Floors, Sun Room, Washer/Dryer Hookup, Patio, Walk-In Closet, Ceiling Fan(s), In-Ground Sprinkler, Kitchen Center Island, Master Bedroom Walk-In Closet, Main Floor Master Bedroom, Paneled Doors'}, {'name': 'BathDesc', 'value': 'Private Master, Main Floor Full Bath, 3/4 Master, Rough In, Basement'}, {'name': 'Exterior', 'value': 'Brick/Stone, Vinyl'}, {'name': 'DiningRoomDescription', 'value': 'Informal Dining Room, Kitchen/Dining Room, Breakfast Area'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'GarageDescription', 'value': 'Attached Garage, Insulated Garage, Garage Door Opener, Driveway - Asphalt'}, {'name': 'FireplaceLoc', 'value': 'Living Room, Gas Burning'}, {'name': 'HeatingDescription', 'value': 'Forced Air, Fireplace'}, {'name': 'FrontageFeet', 'value': 'Paved Streets, City, Curbs'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Age 8 Years or Less'}, {'name': 'SpecialSearch', 'value': 'Main Floor Laundry, Main Floor Bedroom, All Living Facilities on One Level'}, {'name': 'Water', 'value': 'City Water/Connected, City Water - In Street'}, {'name': 'HandicapAccess', 'value': 'No Stairs External'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'Status', 'value': 'Active'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Completed New Construction'}, {'name': 'AssocFeeIncludes', 'value': 'Sanitation, Snow/Lawn Care, Outside Maintenance, Snow Removal, Lawn Care'}]",55054,1127 Seurer St,Elko New Market,MN,44.569198,-93.350472,399000.0,FOR_SALE,68,55054_2,"For sale: $399,000. This beautiful detached villa by Mahowald Builders id completed new construction &amp; parade model!  This home features a lovely main level living layout with a private master suite including a laundry area conveniently located in the master closet! The main level also hosts a 2nd bedroom, full bath, as well as an inviting open floor plan, between the kitchen, dining area, and living room, 14x14 four season porch with access to deck area. The partially finished look-out lower level has a large finished family room and rough-in for 3rd bedroom and bath."
4,3,2,0,1,0,,,,Unfinished,"['Carpet', 'Hardwood', 'Linoleum / Vinyl']",['Forced air'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Garbage disposal', 'Microwave', 'Range / Oven', 'Refrigerator', 'Trash compactor', 'Washer']",,,,True,False,,,2576.0,,,,['Attached Garage'],3,,False,True,,False,,False,,,,2,,,,,,"['Brick', 'Vinyl']",,,,,,,,,,,,False,0.57 acres,,,,False,230230540,False,False,,,,Single Family,,,['Concrete Block'],Shake/Shingle,,,False,2006,,False,,,,,,,,,,,,,,,True,False,,Other,,,,,,,,,,False,New Market,,,[],55054,616 Cedric Ln,New Market,MN,44.565997,-93.360733,371050.0,PRE_FORECLOSURE,5,55054_3,"Zestimate&reg; Home Value: $371,050. Coming Soon! Beautiful 4 bedroom 2.5 bath home in quiet neighborhood."
4,2,,,,,,,,Finished,,['Forced air'],True,['Refrigeration'],True,,,,,,False,,,1308.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,4,,,,,,['Other'],,,,,,,,,,,,False,0.59 acres,,,,False,230070090,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,2000,,False,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,False,New Market,,,[],55054,141 Dakota Ave,New Market,MN,44.57079,-93.357467,319142.0,PRE_FORECLOSURE,0,55054_4,"Zestimate&reg; Home Value: $319,142. "
5,4,2,1,1,0,,,[],Finished,"['Carpet', 'Hardwood']",['Forced air'],True,"['Central', 'Refrigeration']",True,"['Dishwasher', 'Dryer', 'Freezer', 'Garbage disposal', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,True,False,,,2720.0,,,,['Attached Garage'],3,,False,True,,False,,False,,,,2,,,,,,"['Brick', 'Other', 'Vinyl']",,,,True,,,,,,,,False,0.38 acres,,,,False,230130250,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,2005,,False,,,,,,,,,,,,,,,True,False,,Other,,,194 - Lakeville/ 952-232-2000,,194 - Lakeville/ 952-232-2000,,194 - Lakeville/ 952-232-2000,,,False,Elko New Market,,,"[{'name': 'PRESENTUSE', 'value': 'Yearly'}, {'name': 'STATUS', 'value': 'Pending'}, {'name': 'ZONING', 'value': 'Residential-Single Family'}, {'name': 'BASEMENT', 'value': 'Full, Walkout'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'GARAGEDESCRIPTION', 'value': 'Attached Garage'}, {'name': 'HEATINGDESCRIPTION', 'value': 'Forced Air'}, {'name': 'BATHDESC', 'value': 'Main Floor 1/2 Bath, Upper Level Full Bath'}, {'name': 'ROOMFLOOR1', 'value': 'Main'}, {'name': 'ROOF', 'value': 'Asphalt Shingles'}, {'name': 'EXTERIOR', 'value': 'Vinyl'}, {'name': 'FUEL', 'value': 'Natural Gas'}, {'name': 'SEWER', 'value': 'City Sewer/Connected'}, {'name': 'WATER', 'value': 'City Water/Connected'}, {'name': 'DININGROOMDESCRIPTION', 'value': 'Eat In Kitchen, Separate/Formal Dining Room'}, {'name': 'FIREPLACELOC', 'value': 'Family Room'}, {'name': 'TAXYEAR', 'value': '2019.00'}, {'name': 'DAYSONMARKET', 'value': '109'}, {'name': 'DAYSONMARKETCUMULATIVE', 'value': '109'}, {'name': 'OFFMARKETDATE', 'value': '2020-01-08T10:02:52'}]",55054,4120 Judy Ct,Elko New Market,MN,44.566638,-93.34102,328500.0,RECENTLY_SOLD,34,55054_5,"Recently sold: $328,500. Great home featuring a finished basement with 5 bedrooms! Four of the bedrooms are on one level! Home also features hardwood floors, 9-foot ceilings, a corner pantry, a whirlpool tub, and a 3-car garage. A must see!"
4,2,1,1,0,0,,,[],Finished,['Hardwood'],['Forced air'],True,['Refrigeration'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,,False,,,2291.0,,,,['Attached Garage'],3,,False,True,,False,,False,,,,,,,,,,"['Metal', 'Vinyl']",,,,,,,,,,,,False,0.31 acres,,,,False,230070230,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,2000,,False,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,False,Elko New Market,,,"[{'name': 'PRESENTUSE', 'value': 'Yearly'}, {'name': 'STATUS', 'value': 'Pending'}, {'name': 'ZONING', 'value': 'Residential-Single Family'}, {'name': 'BASEMENT', 'value': 'Full, Finished (Livable), Sump Pump, Daylight/Lookout Windows, Drain Tiled'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'EXTERIOR', 'value': 'Metal, Vinyl'}, {'name': 'GARAGEDESCRIPTION', 'value': 'Attached Garage, Heated Garage, Driveway - Concrete, Insulated Garage'}, {'name': 'HEATINGDESCRIPTION', 'value': 'Forced Air'}, {'name': 'FRONTAGEFEET', 'value': 'City'}, {'name': 'APPLIANCES', 'value': 'Range, Refrigerator, Washer, Dryer, Microwave, Dishwasher, Disposal, Water Softener - Owned'}, {'name': 'AMENITIESUNIT', 'value': 'Deck, Kitchen Window, Ceiling Fan(s), Hardwood Floors, Washer/Dryer Hookup, Natural Woodwork, In-Ground Sprinkler, Vaulted Ceiling(s)'}, {'name': 'ROOMFLOOR1', 'value': 'Main'}, {'name': 'ROOF', 'value': 'Asphalt Shingles, Age 8 Years or Less'}, {'name': 'FUEL', 'value': 'Natural Gas'}, {'name': 'SEWER', 'value': 'City Sewer/Connected'}, {'name': 'WATER', 'value': 'City Water/Connected'}, {'name': 'BATHDESC', 'value': 'Main Floor Full Bath, 3/4 Basement'}, {'name': 'DININGROOMDESCRIPTION', 'value': 'Informal Dining Room, Separate/Formal Dining Room'}, {'name': 'OUTBUILDINGS', 'value': 'Storage Shed'}, {'name': 'FENCE', 'value': 'Full, Chain Link'}, {'name': 'TAXYEAR', 'value': '2019.00'}, {'name': 'DAYSONMARKET', 'value': '36'}, {'name': 'DAYSONMARKETCUMULATIVE', 'value': '36'}, {'name': 'OFFMARKETDATE', 'value': '2020-01-10T18:26:39'}]",55054,124 Dakota Ave,Elko New Market,MN,44.57188,-93.358542,291000.0,RECENTLY_SOLD,0,55054_6,"Recently sold: $291,000. Don't miss this impressive, updated split-level home beautifully situated on a large flat lot in Elko New Market. Home features an updated open kitchen with vaulted ceiling, stainless-steel appliances, including an armoire-style refrigerator, granite countertops, tiled backsplash, new light fixtures plus under-cabinet puck lighting, and an eat-in dining area. Separate formal dining area opens to the home's deck. Stunning new bamboo flooring in upstairs and foyer. New carpet downstairs. Updated bathrooms. Fresh paint and new cordless blinds throughout home. Brand new roof. Newer furnace and A/C. Heated and insulated 3-stall garage. Fully-fenced yard hosts a shed perfect for storing outdoor items. In-ground sprinklers. Concrete driveway. Easy access to I35, Prior Lake, Savage, and Lakeville. Close to numerous other conveniences like Wagner Park, Eagle View Elementary School, Firehouse Grille, and local shops and establishments."
4,3,,,,,,,,,,['Forced air'],True,,,,,,,,False,,,2420.0,,,,['Attached Garage'],3,,False,True,,False,,False,,,,2,,,,,,['Other'],,,,,,,,,,,,False,0.32 acres,,,,False,230230360,False,False,,,,Single Family,,,['Concrete'],Asphalt,,,False,,,False,,,,,,,,,,,,,,,True,False,,,,,,,,,,,,False,Elko New Market,,,[],55054,502 Saxon Dr,Elko New Market,MN,44.567724,-93.359219,355000.0,RECENTLY_SOLD,0,55054_7,"Recently sold: $355,000. "
3,4,3,0,1,0,,,[],Finished,"['Carpet', 'Hardwood', 'Tile']",['Forced air'],True,"['Central', 'Refrigeration']",True,"['Dishwasher', 'Dryer', 'Freezer', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,,False,,,2643.0,,,,['Attached Garage'],4,,False,True,,False,,False,,,,0,,,,,,['Vinyl'],,,"['Park', 'Water']",True,,,,,,,,False,0.23 acres,,,,False,230060060,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,2000,,False,,,,,,,,,,,,,,,True,False,,Other,,,,,,,,,,False,New Market,,,"[{'name': 'PRESENTUSE', 'value': 'Yearly'}, {'name': 'STATUS', 'value': 'Pending'}, {'name': 'ZONING', 'value': 'Residential-Single Family'}, {'name': 'BASEMENT', 'value': 'Full, Finished (Livable), Sump Pump, Daylight/Lookout Windows, Walkout, Drain Tiled'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'GARAGEDESCRIPTION', 'value': 'Attached Garage, Garage Door Opener, Heated Garage, Underground Garage, Insulated Garage'}, {'name': 'HEATINGDESCRIPTION', 'value': 'Forced Air'}, {'name': 'FRONTAGEFEET', 'value': 'City'}, {'name': 'APPLIANCES', 'value': 'Range, Refrigerator, Washer, Dryer, Microwave, Dishwasher, Water Softener - Owned'}, {'name': 'AMENITIESUNIT', 'value': 'Deck, Kitchen Window, Ceiling Fan(s), Hardwood Floors, Tiled Floors, Washer/Dryer Hookup, Walk-In Closet, Vaulted Ceiling(s), Master Bedroom Walk-In Closet'}, {'name': 'BATHDESC', 'value': 'Main Floor 1/2 Bath, 3/4 Basement, Private Master, Upper Level Full Bath, Full Master, Walk-In Shower Stall, Separate Tub & Shower, Jetted Tub'}, {'name': 'ROOMFLOOR1', 'value': 'Main'}, {'name': 'ROOF', 'value': 'Asphalt Shingles'}, {'name': 'SPECIALSEARCH', 'value': 'Main Floor Laundry, 3 BR on One Level'}, {'name': 'EXTERIOR', 'value': 'Vinyl'}, {'name': 'FUEL', 'value': 'Natural Gas'}, {'name': 'SEWER', 'value': 'City Sewer/Connected'}, {'name': 'WATER', 'value': 'City Water/Connected'}, {'name': 'DININGROOMDESCRIPTION', 'value': 'Informal Dining Room, Kitchen/Dining Room, Eat In Kitchen'}, {'name': 'FENCE', 'value': 'Chain Link'}, {'name': 'TAXYEAR', 'value': '2019.00'}, {'name': 'DAYSONMARKET', 'value': '68'}, {'name': 'DAYSONMARKETCUMULATIVE', 'value': '68'}, {'name': 'OFFMARKETDATE', 'value': '2019-12-17T09:32:25'}]",55054,70 Todd St,New Market,MN,44.571635,-93.356208,345000.0,RECENTLY_SOLD,68,55054_8,"Recently sold: $345,000. Search no more - This is THE ONE! This beautiful 2 story home has 3 bedrooms on the same level. Includes two attached garages both with professionally installed metallic flake epoxy floors for a total of 4+ garage stalls (2 up &amp; 2+down). LL garage space could double as extra finished 525 SF for game room, workshop, craft room, etc. Features: Updated tiled kitchen with granite and stainless appliances, brand new carpet, gleaming hardwood floors, vaulted ceilings, spacious bedrooms, huge master suite with natural stone bath with walk in shower and jetted tub. Fenced in yard with no neighbors in the back borders accessible park land on two sides.  Recently built, maintenance free, custom deck with built in dining rail for entertaining.  Roof, water heater, and AC all new within last year.  This is special - must see!"
4,3,2,0,1,0,,,[],,['Hardwood'],['Forced air'],True,['Refrigeration'],True,"['Dishwasher', 'Microwave', 'Range / Oven', 'Refrigerator']",,,,True,False,,,2400.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,2,,,,,,"['Brick', 'Metal', 'Stone', 'Vinyl']",,,,,,,,,,,,False,0.29 acres,,,,False,230180320,False,False,,,,Single Family,,,['Concrete Block'],Asphalt,,,False,2005,,False,,,,,,,,,,,,,,,True,False,,Other,,,,,,,,,,False,New Market,,,"[{'name': 'PRESENTUSE', 'value': 'Yearly'}, {'name': 'STATUS', 'value': 'Pending'}, {'name': 'ZONING', 'value': 'Residential-Single Family'}, {'name': 'BASEMENT', 'value': 'Full, Partial Finished, Daylight/Lookout Windows, Drain Tiled'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'EXTERIOR', 'value': 'Metal, Vinyl, Brick/Stone'}, {'name': 'GARAGEDESCRIPTION', 'value': 'Attached Garage'}, {'name': 'HEATINGDESCRIPTION', 'value': 'Forced Air'}, {'name': 'APPLIANCES', 'value': 'Range, Refrigerator, Microwave, Dishwasher, Disposal'}, {'name': 'FIREPLACELOC', 'value': 'Living Room'}, {'name': 'BATHDESC', 'value': 'Main Floor 1/2 Bath, Private Master, Upper Level Full Bath, Separate Tub & Shower, Jetted Tub'}, {'name': 'ROOMFLOOR1', 'value': 'Main'}, {'name': 'FUEL', 'value': 'Natural Gas'}, {'name': 'SEWER', 'value': 'City Sewer/Connected'}, {'name': 'WATER', 'value': 'City Water/Connected'}, {'name': 'AMENITIESUNIT', 'value': 'Kitchen Window, Hardwood Floors'}, {'name': 'DININGROOMDESCRIPTION', 'value': 'Informal Dining Room'}, {'name': 'TAXYEAR', 'value': '2019.00'}, {'name': 'DAYSONMARKET', 'value': '45'}, {'name': 'DAYSONMARKETCUMULATIVE', 'value': '45'}, {'name': 'OFFMARKETDATE', 'value': '2019-12-30T13:46:41'}]",55054,2319 Seurer Ct,New Market,MN,44.569174,-93.345093,329100.0,RECENTLY_SOLD,0,55054_9,"Recently sold: $329,100. "
