bedrooms,bathrooms,bathroomsFull,bathroomsThreeQuarter,bathroomsHalf,bathroomsOneQuarter,bathroomsPartial,mainLevelBathrooms,rooms,basement,flooring,heating,hasHeating,cooling,hasCooling,appliances,laundryFeatures,fireplaces,fireplaceFeatures,hasFireplace,furnished,commonWalls,buildingArea,livingArea,aboveGradeFinishedArea,belowGradeFinishedArea,parking,parkingFeatures,garageSpaces,coveredSpaces,hasAttachedGarage,hasGarage,openParkingSpaces,hasOpenParking,carportSpaces,hasCarport,otherParking,accessibilityFeatures,levels,stories,entryLevel,entryLocation,hasPrivatePool,hasSpa,spaFeatures,exteriorFeatures,patioAndPorchFeatures,fencing,view,hasView,hasWaterfrontView,waterfrontFeatures,frontageType,frontageLength,topography,woodedArea,vegetation,canRaiseHorses,lotSize,lotSizeDimensions,otherStructures,additionalParcelsDescription,hasAdditionalParcels,parcelNumber,hasAttachedProperty,hasLandLease,landLeaseAmount,zoning,zoningDescription,homeType,architecturalStyle,constructionMaterials,foundationDetails,roofType,windowFeatures,propertyCondition,isNewConstruction,yearBuiltEffective,builderModel,hasHomeWarranty,electric,hasElectricOnProperty,gas,sewer,waterSources,utilities,greenBuildingVerificationType,greenEnergyEfficient,greenIndoorAirQuality,greenSustainability,greenWaterConservation,numberOfUnitsInCommunity,numberOfUnitsVacant,storiesTotal,hasPetsAllowed,hasRentControl,buildingFeatures,structureType,buildingName,elementarySchool,elementarySchoolDistrict,middleOrJuniorSchool,middleOrJuniorSchoolDistrict,highSchool,highSchoolDistrict,securityFeatures,communityFeatures,isSeniorCommunity,cityRegion,listingId,buildingAreaSource,otherFacts,zipcode,streetAddress,city,state,latitude,longitude,price,homeStatus,photoCount,imageId,imageIdCount,description
5,4,3,0,0,1,,,[],"Full, Finished (Livable), Walkout, Poured Concrete, Daylight/Lookout Windows","['Hardwood', 'Tile']",['Forced air'],True,['Central'],True,"['Range', 'Microwave', 'Dishwasher', 'Refrigerator', 'Washer', 'Dryer', 'Cooktop', 'Disposal', 'Freezer', 'Wall Oven', 'Air-To-Air Exchanger', 'Tankless Water Heater', 'Water Filtration System', 'Water Osmosis System', 'Gas Water Heater']",,,,True,False,,,3500.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,1,,,True,True,,['Vinyl'],,,['Park'],True,,,,,,,,False,2.5 acres,,,,False,814000080,False,False,,Residential-Single Family,,Single Family,,,,Asphalt,,,False,,,False,,,,"['Tank with Drainage Field', 'Private']",,,,,,,,,,,True,False,,Other,,,Carlton #93,,Carlton #93,,Carlton #93,,,False,Cloquet,5551694,,"[{'name': 'AmenitiesUnit', 'value': 'Deck, Porch, Natural Woodwork, Kitchen Window, Vaulted Ceiling(s), Hardwood Floors, Tiled Floors, Patio, Skylight, Walk-In Closet, Ceiling Fan(s), Hot Tub, Kitchen Center Island, French Doors, Master Bedroom Walk-In Closet, Main Floor Master Bedroom, Paneled Doors, Ethernet Wired'}, {'name': 'BathDesc', 'value': 'Private Master, Full Master, Main Floor 1/2 Bath, Full Basement, Upper Level Full Bath, Separate Tub & Shower, Jetted Tub'}, {'name': 'Fuel', 'value': 'Natural Gas'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'GarageDescription', 'value': 'Attached Garage, Insulated Garage, Garage Door Opener, Heated Garage, Driveway - Asphalt'}, {'name': 'Fence', 'value': 'Wood, Privacy, Chain Link, Other, Full'}, {'name': 'FireplaceLoc', 'value': 'Living Room, Family Room, Gas Burning'}, {'name': 'FrontageFeet', 'value': 'Township, Paved Streets, Cul De Sac'}, {'name': 'HeatingDescription', 'value': 'Forced Air'}, {'name': 'PresentUse', 'value': 'Yearly'}, {'name': 'Roof', 'value': 'Asphalt Shingles, Age Over 8 Years'}, {'name': 'SpecialSearch', 'value': 'Main Floor Bedroom'}, {'name': 'Water', 'value': 'Well, Drilled, Private'}, {'name': 'OutBuildings', 'value': 'Storage Shed, Gazebo, Hot Tub'}, {'name': 'DiningRoomDescription', 'value': 'Eat In Kitchen, Separate/Formal Dining Room'}, {'name': 'PoolDescription', 'value': 'Above Ground'}, {'name': 'TaxYear', 'value': '2019.00'}, {'name': 'CONSTRUCTIONSTATUS', 'value': 'Previously Owned'}, {'name': 'Status', 'value': 'Active'}, {'name': 'PowerCompanyName', 'value': 'Minnesota Power'}]",55720,1525 Evergreen Dr,Cloquet,MN,46.673846,-92.45172,499900.0,FOR_SALE,48,55720_0,7,"For sale: $499,900. Summer is just around the corner so get ready to relax in this beautiful 5 bedroom home on a paved cul de sac while still being close to everything.  Breathe in the 2 1/2 peaceful, wooded acres while you observe wildlife from your own sanctuary.  Swim in the pool, take a hot tub or have s'mores over a toasty fire and watch the sunset!  The house is beautifully finished top to bottom, inside and out, so move in and enjoy!  Features include   maple kitchen cabinets, doors, and trim, large walk in pantry, butler's pantry, granite counters, wood flooring, new carpet, wired stereo speakers, tankless water heater, walkout basement with concrete patio and firepit, three decks, including front porch and master , hot tub, above ground pool, heated garage and a fenced back yard.  Everything is here and waiting for you to enjoy!  Minutes to hiking, biking, and snowmobile trails, two minutes to I-35, 5 minutes to Black Bear, 25 minutes to downtown Duluth and less than 2 hours from the Twin Cities!"
3,2,1,1,0,0,,,[],,,,,,,,,,,,False,,,2464.0,,,,,2,,False,True,,False,,False,,,,1,,,,,,,,,['Typical'],,,,,,,,,False,0.27 acres,,,,False,067450020,False,False,,,,Single Family,,,,,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,6089266,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Assessments', 'value': 'Yes'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Style', 'value': 'Ranch/Rambler'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Parking/Driveway', 'value': 'Driveway - Concrete'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Terms', 'value': 'Cash, Conventional'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Outbuildings', 'value': 'Storage Shed'}, {'name': 'Heat', 'value': 'City Gas, Baseboard, Fireplace, Boiler'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Amenities', 'value': 'Ceiling Fans, Tiled Floors'}, {'name': 'Mechanicals', 'value': 'Water Heater-Gas'}, {'name': 'Road Frontage', 'value': 'Paved'}, {'name': 'Basement Features', 'value': 'Partially Finished'}, {'name': 'Basement Material', 'value': 'Concrete Block'}, {'name': 'Water', 'value': 'City'}, {'name': 'Dining', 'value': 'Eat-In Kitchen'}, {'name': 'Amenities-Shared', 'value': 'Deck'}, {'name': 'Exterior', 'value': 'Asphalt'}, {'name': 'Bath Description', 'value': 'Full Main Floor'}]",55720,1419 Carlton Ave W,Cloquet,MN,46.718312,-92.48137,279900.0,FOR_SALE,30,55720_1,7,"For sale: $279,900. Beautiful 3br 2bath ranch style home with 2 car attached garage siutated on beautiful wooded lot.  The whole home has been updated within the last few years.  It features a gorgeous custom kitchen, large living room, large front and side porch, finished basement with large family room. Everything is meticulous in this home. There is a huge deck for entertaining and fenced in back yard."
3,2,1,1,0,0,,,[],Partially finished,,['Baseboard'],True,,,,,,,False,False,,,1768.0,,,,"['Attached Garage', 'Off street']",1,,False,True,,False,,False,,,,1,,,,,,['Vinyl'],,,,,,,,,,,,False,1.67 acres,,,,False,065102501,False,False,,,,Single Family,,,,Asphalt,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,Ranch,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,6089253,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Fireplace Type', 'value': 'Wood Burning'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Fireplace', 'value': 'Yes'}, {'name': 'Fireplaces', 'value': '1'}, {'name': 'Style', 'value': 'Ranch/Rambler'}, {'name': 'Lot Description', 'value': 'Tree Coverage - Light'}, {'name': 'Parking/Driveway', 'value': 'Off Street, Driveway - Gravel, RV Parking'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Amenities-Exterior', 'value': 'Deck'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Combine with Kitchen'}, {'name': 'Exterior', 'value': 'Wood, Vinyl'}, {'name': 'Terms', 'value': 'Cash, Conventional'}, {'name': 'Basement Features', 'value': 'Walkout, Bath, Den/Office, Family/Rec Room, Utility Room, Kitchen, Washer Hook-Ups, Dryer Hook-Ups'}, {'name': 'Basement Material', 'value': 'Poured Concrete'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Extra Rooms', 'value': 'Den/Office, Family/Rec, Second Kitchen, Utility Room'}, {'name': 'Outbuildings', 'value': 'Storage Shed'}, {'name': 'Heat', 'value': 'City Gas, Baseboard, Boiler'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Windows', 'value': 'Wood Frame'}, {'name': 'Amenities', 'value': 'Ceiling Fans'}, {'name': 'Road Frontage', 'value': 'City'}, {'name': 'Road Maintenance', 'value': 'Public'}, {'name': 'Bath Description', 'value': 'Full Basement, 3/4 Main Floor'}, {'name': 'Mechanicals', 'value': 'Water Heater-Electric'}, {'name': 'Water', 'value': 'City'}, {'name': 'Air Conditioning', 'value': 'Ductless Mini Split'}, {'name': 'Garage Dimensions', 'value': '26x15'}]",55720,207 Sunset Dr,Cloquet,MN,46.736633,-92.451807,225000.0,FOR_SALE,37,55720_2,7,"For sale: $225,000. One owner home!  This 3 bdrm 2 bath home has a warm comfortable feeling to it and a semi rural location.  This home has had many nice updates, including Newer siding, roof, soffit/facia furnace, mini split heat/AC, roof insulation, some newer windows and is connected to city water and sewer.  There is also an auxiliary well.  The lower level family room has new carpet,  a 2nd kitchen, and a large picture window to bring in the natural light.  There is also a workshop area and a full bath.  This home has been well cared for and sits on a 1.67 acre lot.  Close the area amenities."
2,1,1,0,0,0,,,[],None,['Linoleum / Vinyl'],['Forced air'],True,['None'],True,"['Microwave', 'Range / Oven', 'Refrigerator']",,,,False,False,,,720.0,,,,"['Attached Garage', 'Detached Garage']",2,,False,True,,False,,False,,,,1,,,False,False,,['Vinyl'],,,['City'],True,False,,,,,,,False,0.23 acres,,,,False,060950560,False,False,,,,Single Family,,,,Shake/Shingle,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,Modern,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,6089227,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Lender Owned', 'value': 'Yes'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Style', 'value': 'Ranch/Rambler'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Heat', 'value': 'Forced Air, City Gas'}, {'name': 'Basement Material', 'value': 'Poured Concrete'}, {'name': 'Water', 'value': 'City'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'Basement Style', 'value': 'Crawl Space'}, {'name': 'Bath Description', 'value': 'Full Main Floor'}]",55720,1601 Doddridge Ave,Cloquet,MN,46.712612,-92.446509,54900.0,FOR_SALE,12,55720_3,7,"For sale: $54,900. Seller will not complete any repairs to the subject property, either lender or buyer requested. The property is sold in AS IS condition.  This property is eligible under the First Look Initiative through 4/30/20 (20 days from listing date).  Owner Occupant offers may be eligible for incentives. Two bedroom, one bath home with attached and detached one car garages, enclosed entry and black topped driveway."
4,3,3,0,0,0,,,[],Finished,"['Carpet', 'Linoleum / Vinyl', 'Tile', 'Other']",['Forced air'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range / Oven', 'Refrigerator', 'Washer']",,,,,False,,,2650.0,,,,['Detached Garage'],,,False,,,False,,False,,,,1,,,,,,"['Metal', 'Vinyl']",,,,,,,,,,,,False,5 acres,,,,False,275001900956,False,False,,,,Single Family,,,,Shake/Shingle,,,False,,,False,,,,,,,,,,,,,,,True,False,,Ranch,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'FUEL', 'value': 'Propane'}, {'name': 'SEWER', 'value': 'Private'}, {'name': 'WATER', 'value': 'Private'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Style', 'value': 'SF Single Family'}, {'name': 'BASEMENT MATERIAL', 'value': 'Concrete Block'}, {'name': 'EXTERIOR', 'value': 'Vinyl'}, {'name': 'Lender Owned', 'value': 'Yes'}, {'name': 'BASEMENT STYLE', 'value': 'Full'}, {'name': 'HEAT', 'value': 'Forced Air'}, {'name': 'CONSTRUCTION TYPE', 'value': 'Modular'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'House Style', 'value': '28 x 46'}]",55720,3725 Crosby Rd,Cloquet,MN,46.781929,-92.429861,299900.0,FOR_SALE,24,55720_4,7,"For sale: $299,900. For Sale Completely remodeled modular country home on 5 acres that is also a rental property or mother in law apartment! The main level has 3 remodeled bedrooms and two full baths. New hickory kitchen, all new appliances, new kitchen flooring, new sliding glass door and entry doors. Main level laundry room with kitchenette and laundry storage. Vaulted ceilings throughout living room and kitchen. New water softener, new air exchanger, new water heater, new furnace. There are 2 new decks with 6 x 6 post construction. Huge brand new double-width garage that is a full 42 feet long with two 16' doors plus a side overhead door for UTV or tractor entry.
Downstairs all construction is new and only 6 months old. Two egress windows and new entry door. Vinyl plank flooring, new white shaker kitchen, all new appliances. New washer/dryer stackable unit, new full bath with ceramic tile flooring. Walk in closet. Plus it is already rented with a long-term tenant and if you owner occupy, it will drop your monthly payment by 800 per month.
Huge yard with no visible neighbors in any direction. Enjoy sunsets on the new deck overlooking the canopy of trees with deer in the backyard. It is rural, yet only 8 minutes north of Cloquet and only 1 block off blacktop. The upper main level would rent for 1800 as each unit would have a full two stalls in garage. Owner currently owner occupies. The rent it brings in drops your payment in half!! Listing for 299,900. (Note that overhead google views are not accurate for some reason) Downstairs apartment could also be used as a mother in law apartment as it is fully functioning yet accessible both from main level as well as ground level access from the outside
218-590-7492"
4,2,0,0,0,0,,,[],,,,,,,,,,,,False,,,1424.0,,,,,,,False,,,False,,False,,,,1,,,,,,,,,,,,,,,,,,False,0.21 acres,,,,False,064200880,False,False,,,,Single Family,,,,,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'Assessments', 'value': 'Unknown'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Lot Description', 'value': 'Landscaped'}, {'name': 'Parking/Driveway', 'value': 'Off Street'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Style', 'value': 'Traditional'}, {'name': 'Garage Dimensions', 'value': '24x24'}, {'name': 'Amenities', 'value': 'Main Floor Laundry, Eat-In Kitchen, Garage Door Opener, Security System'}, {'name': 'Bath Description', 'value': 'Main Floor Full Bath, 1/2 Basement'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Formal Dining Room'}, {'name': 'Terms', 'value': 'Cash, Conventional'}, {'name': 'Amenities-Exterior', 'value': 'Porch, Gutter/Downspout, Fenced Yard - Partial'}, {'name': 'Basement Features', 'value': 'Bath, Unfinished'}, {'name': 'Basement Material', 'value': 'Poured Concrete, Concrete Block, Stone'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Extra Rooms', 'value': 'Enclosed Porch'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Mechanicals', 'value': 'Water Heater-Gas'}, {'name': 'Road Frontage', 'value': 'City, Sidewalk'}, {'name': 'Water', 'value': 'City'}, {'name': 'Heat', 'value': 'Hot Water'}, {'name': 'Exterior', 'value': 'Asphalt'}]",55720,309 4th St,Cloquet,MN,46.717212,-92.459441,138694.0,PRE_FORECLOSURE,5,55720_5,5,"Recently sold: $130,000. Buy this foreclosure deal the right way. Jump on this HOT deal. Based on the data provided to Auction.com, we believe this property will have high return potential. Start by visiting our site, then login or create a free account, and save this property to receive important alerts. We'll let you know if the Est. Credit Bid has posted, when the property has cleared for sale, is postponed or canceled, and the property's winning bid amount if it sells. Auction.com is your source for 30,000+* discounted foreclosure and bank-owned properties and auction events nationwide. Find the best deals in your market now. *Based on data from August 2019."
4,3,2,1,0,0,,,[],,,,,,,,,,,True,False,,,2800.0,,,,,3,,False,True,,False,,False,,,,1,,,,,,,,,,,,,,,,,,False,0.36 acres,,,,False,066530980,False,False,,,,Single Family,,,,,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,6088973,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Assessments', 'value': 'Yes'}, {'name': 'Fireplace Type', 'value': 'Gas'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Fireplace', 'value': 'Yes'}, {'name': 'Style', 'value': 'Ranch/Rambler'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Fireplaces', 'value': '2'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Basement Material', 'value': 'Poured Concrete'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Heat', 'value': 'City Gas'}, {'name': 'Water', 'value': 'City'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'Bath Description', 'value': '3/4 Master, Full Main Floor'}]",55720,402 Heather Ave,Cloquet,MN,46.732708,-92.442039,359000.0,FOR_SALE,50,55720_6,7,"For sale: $359,000. Large home on corner lot checks off all the boxes.  You will feel so welcomed in this great house.  It is large in space and has so many great features.  Attached and large garage, granite, main floor laundry, 4 bedrooms, family room,  fireplaces, sun room, and so so much more.  Grab this up while the interest rates are favorable!  Make your dreams come true now!"
4,2,2,0,0,0,,,[],,,,,,,,,,,,False,,,3072.0,,,,,,,False,,,False,,False,,,,2,,,,,,,,,,,,,,,,,,False,0.17 acres,,,,False,,False,False,,,,Multi Family,,,,,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,6088894,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Classification', 'value': 'NonHomestead'}, {'name': 'Assessments', 'value': 'Yes'}, {'name': 'Leased 1', 'value': 'Yes'}, {'name': 'Remodeled/Addition', 'value': 'Yes'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Type', 'value': 'Duplex'}, {'name': 'Basement Material', 'value': 'Concrete Block'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Water', 'value': 'City'}, {'name': 'Tenant Expense', 'value': 'Electric, Snow, Trash, Water, Lawn, Internet Service'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'Heat', 'value': 'City Gas'}, {'name': 'Style', 'value': 'Side by Side'}, {'name': 'Association Fee', 'value': 'Yes'}]",55720,210 14th St,Cloquet,MN,46.718308,-92.448849,269900.0,FOR_SALE,15,55720_7,7,"For sale: $269,900. Look at this lovely find.  This home has been lovingly remodeled and upgraded.  Owner thought she was staying forever.  She has been re-located, and her loss is your gain.  She did all the work, and you get to enjoy it.  This could greatly reduce your mortgage payment by renting out one side.  Or, use it as an investment property for years to come.  The possibilities are endless. In this market, you won't get much time to grab it up."
4,3,1,2,0,0,,,[],,,,,,,,,,,,False,,,2240.0,,,,,2,,False,True,,False,,False,,,,1,,,,,,,,,,,,,,,,,,False,0.3 acres,,,,False,066500480,False,False,,,,Single Family,,,,,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,6088865,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Lender Owned', 'value': 'Yes'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'Auction', 'value': 'Yes'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Auction Type', 'value': 'Reserve'}, {'name': 'Style', 'value': 'Ranch/Rambler'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Bath Description', 'value': 'Private Master, Full Main Floor'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Heat', 'value': 'Forced Air, Electric, City Gas'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Basement Material', 'value': 'Concrete Block'}, {'name': 'Water', 'value': 'City'}, {'name': 'Exterior', 'value': 'Vinyl'}]",55720,513 North Rd,Cloquet,MN,46.735917,-92.46125,195000.0,FOR_SALE,1,55720_8,1,"For sale: $195,000. Investor opportunity! This property is being offered at Public Auction on 07-23-2019. Visit Auction.com now to view additional photos, Property Inspection Report with title information, plat maps and interior inspection reports when available. Auction.com is the nation's leading real estate transaction platform focused exclusively on the sale of residential foreclosure and bank-owned properties. The majority of these properties are priced below market value. Don't miss this special opportunity to buy homes at wholesale prices! In addition to this property, 47 other properties are scheduled for sale at this same Foreclosure Sale. In our online auctions and live Foreclosure Sales, Auction.com currently has 6 properties scheduled for sale in Carlton County and 462 throughout Minnesota. All properties and sale details can be found with a simple search at Auction.com. Create a FREE account today to find more properties like this one, save searches of properties that meet your investment criteria and have the properties you're looking for emailed directly to you when posted in an upcoming sale event. To view the complete details of this exact property, click the Auction.com link below or paste the Property ID 2797067 into the search bar at Auction.com"
4,3,3,0,0,0,,,[],,,['Forced air'],True,['Central'],True,"['Dishwasher', 'Dryer', 'Microwave', 'Range/Stove', 'Refrigerator', 'Washer', 'Cooktop']",,,,,False,,,2318.0,,,,['Attached Garage'],2,,False,True,,False,,False,,,,1,,,,,,['Vinyl'],,,,,,,,,,,,False,0.2 acres,,,,False,234500182,False,False,,,,Single Family,,,,,,,False,,,False,,,,['City'],,,,,,,,,,,True,False,,,,,Cloquet #94,,Cloquet #94,,Cloquet #94,,,False,Cloquet,6088761,,"[{'name': 'Sale/Rent', 'value': 'For Sale'}, {'name': 'Construction Status', 'value': 'Previously Owned'}, {'name': 'Assessments', 'value': 'Yes'}, {'name': 'Classification', 'value': 'Homestead'}, {'name': 'Occupied By', 'value': 'Owner'}, {'name': 'Fraction Ownership', 'value': 'Yes'}, {'name': 'School District', 'value': 'Cloquet #94'}, {'name': 'Style', 'value': 'Split Entry/Foyer'}, {'name': 'Lot Description', 'value': 'Level, High'}, {'name': 'Parking/Driveway', 'value': 'Off Street, Driveway - Concrete'}, {'name': 'Main Floor Bedroom', 'value': '1'}, {'name': 'Air Conditioning', 'value': 'Central'}, {'name': 'Amenities', 'value': 'Natural Woodwork, Walk-In Closet, Patio Door, Ceiling Fans, Eat-In Kitchen, Garage Door Opener, Tiled Floors, Drywalls, Foyer Entry, Hardwood Floors, Washer Hook-Ups, Dryer Hook-Ups'}, {'name': 'Construction Type', 'value': 'Frame/Wood'}, {'name': 'Dining', 'value': 'Combine with Kitchen, Eat-In Kitchen, Breakfast Nook'}, {'name': 'Heat', 'value': 'Forced Air, City Gas'}, {'name': 'Terms', 'value': 'Cash, Conventional, VA DVA, FHA'}, {'name': 'Basement Features', 'value': 'Finished, Bath, Bedrooms, Den/Office, Family/Rec Room, Utility Room, Egress Windows, Washer Hook-Ups, Dryer Hook-Ups'}, {'name': 'Basement Style', 'value': 'Full'}, {'name': 'Roof', 'value': 'Asphalt Shingles'}, {'name': 'Windows', 'value': 'Double Glazed, Wood Frame'}, {'name': 'Mechanicals', 'value': 'Water Heater-Gas, Air to Air Exchange, Sump Pump'}, {'name': 'Road Frontage', 'value': 'Paved, City'}, {'name': 'Internet Options', 'value': 'Cable, Satellite, DSL'}, {'name': 'Water', 'value': 'City'}, {'name': 'Exterior', 'value': 'Vinyl'}, {'name': 'Amenities-Exterior', 'value': 'Gutter/Downspout, Fenced Yard - Partial'}, {'name': 'Basement Material', 'value': 'Insulated Form'}, {'name': 'Disclosures/Docs', 'value': 'Disc./Condition Report'}, {'name': 'Bath Description', 'value': 'Full Main Floor'}]",55720,1111 28th St,Cloquet,MN,46.706164,-92.43012,294900.0,FOR_SALE,21,55720_9,7,"For sale: $294,900. Come &amp; view this outstanding 4 Bdrm 3 full-bath, split Foyer home in the heart of Scanlon. No detail has been left untouched. From the hardwood kitchen floors to the new carpeting through out, this home brags of many amenities. Six Panel Oak doors, Master Bath, Walk-In Closets, a den/office,storage, cabinet lined kitchen and an open floor plan! Plus a rec room, updated laundry/utility room, air exchange, gas forced air heat, central air,refinished hardwood frame windows, breakfast bar, and dining area. There is a raised deck off rear overlooking private back yard; partially fenced, vinyl siding, large 2 car attached garage and a concrete driveway."
